"Product Code","Availability"
"SR400EPBDXMGU",1
"SR400EQM-SCB",1
"SR405EPBDXMGU",1
"SR405EQM-SCB",1
"SR500N-MAM",0
"SR505N-MAM",0
"SR5500-MHF",0
"SR5505-MHF",0
"SR5506-MHF",0
"SR600E-AST",0
"SR600E-CTF",1
"SR606E-CTF",1
"TQMS1-CTB",1
"UV70P-BK",1
"XPTB620-BKF",0
"XPTB720-BKF",0
"1B-FRM300-PR",1
"4KB3XA0005",1
"4KBHV001-BKW",1
"5ABPST01-BBK",1
"5N4364401RPIV",1
"A527-IPT",0
"A527-NSH",0
"A528-CMG",0
"A528-IPT",0
"AAD1012E-OPN",1
"AAD170CE-LGS",1
"AAD400CE-LGS",1
"AAD50CE-LG",1
"AAD51CE-NT",0
"AAM100E-BK",1
"AAM100E-NT",1
"AAM300CE-NT",1
"AAM380CE-NT",1
"AAM50-OPN",1
"AAM50CE-OPN",1
"AAM54-OPN",1
"AAM70CE-TBN",1
"AE3007FMH-TBH",1
"AE410-LGS",1
"AEG50-IBH",1
"AEG70L-TIH",1
"AEGB24FE-MHS",1
"AEWC11-DVS",1
"AEWC11-TCB",1
"AF95FM-AYS",1
"ALT50FA-BDB",0
"ALT50FA-RDB",0
"AMH100FM-DVS",1
"AS113-BS",1
"AS113B-TBC",1
"AS53-TKF",1
"AS53L-TF",1
"AS73-TCD",1
"AS7312-TCD",1
"AS93FM-VLS",0
"AS93FML-VLS",1
"AUP10N-OPN",1
"AW247CE-WKH",1
"AW417CE-OPS",1
"AW54L-OPN",1
"AW54LCE-OPN",1
"EWP12EWB-OPN",1
"FRM300-PR",1
"FRM350-BK",1
"GA35TCE-DVS",1
"GB10-BK",1
"GB10EM-AA",1
"GL20",1
"IAB541-MGN",1
"IAB541-NB",1
"IAB541-WR",1
"IBB540-BK",1
"IBB541-BE",1
"IBB541-BK",1
"IBB541-BR",0
"IBB571-YE",1
"IBB724-CGY",0
"IC420-AAB",1
"IC420-ABM",1
"IC420FM-TBG",1
"ICB541-WR",1
"IGB540-BK",1
"IGB541-BE",1
"IGB541-BK",1
"IGB541-BR",1
"IGB541D-BK",0
"IGB541D-BL",1
"IGB561-MGN",1
"IGB561-NB",1
"IGB571-YE",1
"IHB541-BK",1
"IHB541-BR",1
"JGM11",1
"JSA20-VB",1
"MDM1600-CTL",0
"PGM50-BK",1
"PM3C-NAL",1
"PNB14E-OPN",1
"PWRS6",1
"Q52PB-ABS",0
"Q54W-CMM",1
"QX52-MGM",1
"QX527PB-ABS",1
"RGMS7PB-CBS",1
"TCY10LE-BK",1
"TCY10PA-CBS",1
"TOD10",1
"UICT10-BK",1
"UICT10-MGS",1
"UICT100-MGS",1
"XPT420DX-RGC",0
"1B-BTB25TH6SL",1
"1B-FRH20QMNWR",1
"1B-QX527PBABS",1
"1B-SRD905-CTL",1
"2MG0008PL-CK",1
"2MM0021R-GDP",1
"2MM0049SL-CH",0
"2MM0049SR-CH",0
"3EMM4-SL",0
"3PU1PC0006",1
"3PU1PC0007",0
"3SWPPTA",1
"4N4263401RPBK",1
"4N4532501RPBK",1
"8PCBN041",1
"AAM54CE-OPN",1
"AG95MG-DA",0
"AM93QA-JBB",1
"AS7328-TBC",0
"ASH300-TBC",0
"AUC10E-OPN",1
"AZ2203N-SFG",1
"AZ2204AG-TFB",0
"AZ2204AG-TGB",0
"AZ2204N-AWD",1
"AZ2204N-PBM",1
"AZ2204NW-DTB",1
"AZ2204NW-SFB",1
"AZ2204NWL-MGR",1
"AZ2402-AGM",1
"AZ2402-BKF",0
"AZ2402-PBM","unknown"
"AZ2402-ROM",0
"AZS2200Q-RBS",1
"DCT08-BWH",1
"DCT16-BWH",1
"DCT24-BWH",1
"EHB600-PRM",1
"EHB605-PRM",1
"FLATV2-MSN",1
"FRH10N-RGF",1
"FRH10NL-BSF",1
"FRH20QMN-WRL",1
"FRH20SMN-TCL",0
"GRG121PAR-KBF",0
"GRG220PA1-BKB",1
"GRGM21-WH",1
"GRGM21L-BKN",1
"GRX70QAL-TBB",0
"GSR180-LBF",0
"GSR200PC-TPB",1
"GWB35-BKF",1
"IEBS4C",1
"IEBS4XC",1
"IEBS5C",1
"IEBS6C",1
"IEGS61BT",1
"IEGS9",1
"IFAS6SL",1
"IGB724-CGY",0
"JBM10FX-PWM",1
"JIVA10-DSB",1
"JIVAJR-DSE",1
"JS3CR",1
"KIKOSP3-TEB",1
"LM1-LWH",1
"MTZ11-JB",1
"MTZ11-MPK",1
"NBUKS4",1
"P20",1
"PF16MWCE-WK",1
"PGMM11-JB",0
"PS10-BK",1
"PWM100",1
"RG2027RXL-DTB",0
"RG2027XL-DTB","unknown"
"RG5120M-FCN",1
"RG5120ML-FCN",0
"RG5320-CSW","unknown"
"RG5320C-DFM","unknown"
"RG550L-DY",0
"RG652AHM-AWD",0
"RG652AHMFXRPB",1
"RG8570-RBS",0
"RGA42FML-BLF",1
"RGD3121-PRF","unknown"
"RGD721FA-WUF",0
"RGDR4327-NTF",0
"RGMS8PB-CBS",0
"RGR5121RB-GRF",0
"RGR5221R-TFR",0
"RGR652AHBF-WK",0
"RGRTBB21-BKF",0
"S6621AH-TGB",0
"S6670SK-DUB",0
"SDB3-PW",0
"SR1455DW-TGF",1
"SR4500-DST",1
"SR4505-DST",1
"SR500A-MHL",0
"SR505A-MHL",0
"SR506A-MHL",1
"SRD900-CTL",1
"SRD905-CTL",1
