"Kod";"Stav"
"CDZCT14";0
"CDZCT14PK20";0
"DGTBADDERMONKEY";1
"DGTBASSWHAMMYV01";1
"DGTBIFET410";1
"DGTBONESHAKER";1
"DGTCARCOSA";1
"DGTCHTHONIC";1
"DGTCOMP280";1
"DGTDROPV01";1
"DGTENVELOP440";1
"DGTFREQOUTV00";1
"DGTFS3XV";1
"DGTGONKULATOR";1
"DGTGUNSLINGER";1
"DGTHAMMERONV04";1
"DGTJMSHD";0
"DGTLOOKINGGLASS";1
"DGTMEATBOX";1
"DGTMINIEXP";1
"DGTMINIVOL";1
"DGTMOSAICV01";1
"DGTODP250";1
"DGTODP250X";1
"DGTPHASOR201";1
"DGTPS0913DC01";1
"DGTPS0913DC04";1
"DGTRICOCHETV00";1
"DGTRUBBERNECKV00";1
"DGTSDRUMPK";0
"DGTSDRUMV04";0
"DGTTRIOPLUSPK";0
"DGTTRIOPLUSV04";1
"DGTWHAMMYDTV01";0
"DGTWHAMMYMN";1
"DGTWHAMMYV01";0
"DP0107-0604WH";1
"DP0107-0805L";1
"DP0107-1006L";1
"DP0107-1208L";1
"DP0107-1308L";1
"DP0107-14081L";1
"DP0109-14102X";0
"DP0109-1410X";0
"DP0138-1412";1
"DP0138-14122NA";0
"DP0138-14122NWHA";0
"DP0138-1412WH";0
"DP0138-777";1
"DP0138-777WH";0
"DP0150-0805WH";0
"DP0150-1006WH";0
"DP0150-1208WH";0
"DP0150-1308WH";0
"DP0166-1800A-PB";0
"DP0166-2000A-PB";1
"DP0166-2200A-PB";0
"DP0166-2400A-PB";1
"DP0166-2600A-PB";1
"DP0166-2800A-PB";1
"DP0168-2000WH";0
"DP0168-2200WH";0
"DP0168-2400WH";0
"DP0168-2600WH";0
"DP0226-314BT3-MPN";1
"DP0246-314SS-MPN";0
"DP0630";1
"DP068ST-13";1
"DP0698-795AW";0
"DP0698A";0
"DP0710-VD45NA";0
"DP0712-VC45A";1
"DP0714-VD45NA";1
"DP1224-045";1
"DP13L1033P";0
"DP14L0016C";0
"DP14L1013P";0
"DP14L1028P";0
"DP14Q6006P";1
"DP1800-045";1
"DP3108-045";1
"DPC1PYAX130025";1
"DPC1PYAX130029";1
"DPEPP-010MH";0
"DPEPP-010MN";0
"DPEPP-012MN";0
"DPG025-501A";1
"DPG330-301A";1
"DPJZ0800170A";1
"DPM010-020";0
"DPM092-892WH";0
"DPMHBK9350-T04B";0
"DPMHBK9350-T05A";0
"DPMHBK9350-T05B";0
"DPMHBK9350-T05C";1
"DPMHBK9350-T05D";0
"DPMHBK9350-T05E";0
"DPMHBK9350-T05F";0
"DPMHBK9350-T05G";0
"DPMHBK9350-T06C";0
"DPMHBK9350-T06D";0
"DPMHBK9350-T06E";0
"DPMHBK9350-T06F";0
"DPMHBK9350-T06G";0
"DPMHBK9350-T54A";0
"DPMHBK9350-T55A";0
"DPMHBK9350-T55C";0
"DPMHBK9350-T55D";0
"DPMHBK9350-T55F";0
"DPMHBK9350-T55G";0
"DPMHBK9350-T56C";0
"DPMHBK9350-T56D";0
"DPMHBK9350-T56G";0
"DPMSR-105A";1
"DPMVSA";1
"DPP131-909A";0
"DPP13L1007B";1
"DPP2402-330";1
"DPP90SY156BY";1
"DPPBM5533-D02A";1
"DPPBM5533-D02B";1
"DPPBM5533-D03A";1
"DPPBM5533-D03B";1
"DPPBM5533-D03C";1
"DPPBM5533-D03E";1
"DPPBM5533-D03F";1
"DPPBM5533-D04A";1
"DPPBM5533-D04C";1
"DPPBM5533-D04D";0
"DPPBM5533-D04E";1
"DPPBM5533-D04F";1
"DPPBM5533-D04G";1
"DPPBM5533-D05A";1
"DPPBM5533-D05B";0
"DPPBM5533-D05C";0
"DPPBM5533-D05D";0
"DPPBM5533-D05F";0
"DPPBM5533-D05G";1
"DPPBM5533-D06C";0
"DPPBM5533-D52A";1
"DPPBM5533-D53A";1
"DPPBM5533-D53C";1
"DPPBM5533-D53D";1
"DPPBM5533-D53F";1
"DPPBM5533-D53G";1
"DPPBM5533-D54A";1
"DPPBM5533-D54C";1
"DPPBM5533-D54D";0
"DPPBM5533-D54F";1
"DPPBM5533-D54G";1
"DPPBM5533-D55A";0
"DPPBM5533-D55C";0
"DPPBM5533-D55D";0
"DPPBM5533-D55F";0
"DPPBM5533-D55G";0
"DPPBM5533-DAA";0
"DPPBM5550-R02A";0
"DPPBM5550-R02B";0
"DPPBM5550-R02C";0
"DPPBM5550-R02D";1
"DPPBM5550-R02E";0
"DPPBM5550-R02F";0
"DPPBM5550-R02G";0
"DPPBM5550-R03A";0
"DPPBM5550-R03B";0
"DPPBM5550-R03C";0
"DPPBM5550-R03D";0
"DPPBM5550-R03E";0
"DPPBM5550-R03F";0
"DPPBM5550-R03G";0
"DPPBM5550-R04A";0
"DPPBM5550-R04B";0
"DPPBM5550-R04C";0
"DPPBM5550-R04D";0
"DPPBM5550-R04E";0
"DPPBM5550-R04F";0
"DPPBM5550-R04G";0
"DPPBM5550-R05C";1
"DPPBM5550-R52F";1
"DPPBM6543-D02A";1
"DPPBM6543-D02B";1
"DPPBM6543-D03A";1
"DPPBM6543-D03B";1
"DPPBM6543-D03C";1
"DPPBM6543-D03D";1
"DPPBM6543-D03E";1
"DPPBM6543-D03F";1
"DPPBM6543-D03G";1
"DPPBM6543-D04A";1
"DPPBM6543-D04B";1
"DPPBM6543-D04C";1
"DPPBM6543-D04D";1
"DPPBM6543-D04E";1
"DPPBM6543-D04F";1
"DPPBM6543-D04G";1
"DPPBM6543-D05A";1
"DPPBM6543-D05B";1
"DPPBM6543-D05C";1
"DPPBM6543-D05D";1
"DPPBM6543-D05E";1
"DPPBM6543-D05F";1
"DPPBM6543-D05G";1
"DPPBM6543-D06A";1
"DPPBM6543-D06B";1
"DPPBM6543-D06C";1
