;;;;;;;;
;SONOR Pricelist 2026;;;RRP €;Dealer Base €;EAN;UPC;Free-Stock [pcs.]
;;;;;;;;
1;Drums;;;;;;;
1.1;MOMENTUM Drum Series;;;;;;;
1.1.1;MOMENTUM Shell Sets;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.2;16217182;MT Beech 24x15.25 BD NM #CBU;"Bass Drum 24"" x 15.25"" (no Mount), Beech, California Burl";1 780,00 €;1 136,81 €;4044661749423;829193750024;3
1.1.2;16217324;MT Birch 24x15.25 BD NM #REP;"Bass Drum 24"" x 15.25"" (no Mount), Birch, Red Pearl";1 770,00 €;1 130,42 €;4044661749430;829193750031;5
1.1.2;16217336;MT Birch 24x15.25 BD NM #GTB;"Bass Drum 24"" x 15.25"" (no Mount), Birch, GT Black";2 020,00 €;1 290,08 €;4044661749447;829193750048;4
1.1.2;16217340;MT Birch 24x15.25 BD NM #SPW;"Bass Drum 24"" x 15.25"" (no Mount), Birch, Satin Pure White";2 020,00 €;1 290,08 €;4044661749454;829193750055;3
1.1.2;16217382;MT Birch 24x15.25 BD NM #CBU;"Bass Drum 24"" x 15.25"" (no Mount), Birch, California Burl";1 970,00 €;1 258,15 €;4044661749461;829193750062;5
1.1.2;16217524;MT Maple 24x15.25 BD NM #REP;"Bass Drum 24"" x 15.25"" (no Mount), Maple, Red Pearl";1 820,00 €;1 162,35 €;4044661749478;829193750079;3
1.1.2;16217536;MT Maple 24x15.25 BD NM #GTB;"Bass Drum 24"" x 15.25"" (no Mount), Maple, GT Black";2 120,00 €;1 353,95 €;4044661749485;829193750086;5
1.1.2;16217540;MT Maple 24x15.25 BD NM #SPW;"Bass Drum 24"" x 15.25"" (no Mount), Maple, Satin Pure White";2 120,00 €;1 353,95 €;4044661749492;829193750093;5
1.1.2;16217582;MT Maple 24x15.25 BD NM #CBU;"Bass Drum 24"" x 15.25"" (no Mount), Maple, California Burl";2 070,00 €;1 322,02 €;4044661749508;829193750109;7
;;;;;;;;
;;;;;;;;
1.1.3;MOMENTUM Single Drums Toms;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.3;16230124;MT Beech 08x07 TT #REP;"Tom 08"" x 07"", Beech, Red Pearl";625,00 €;399,16 €;4044661749515;829193750116;1
1.1.3;16230136;MT Beech 08x07 TT #GTB;"Tom 08"" x 07"", Beech, GT Black";625,00 €;399,16 €;4044661749522;829193750123;2
1.1.3;16230140;MT Beech 08x07 TT #SPW;"Tom 08"" x 07"", Beech, Satin Pure White";625,00 €;399,16 €;4044661749539;829193750130;1
1.1.3;16230182;MT Beech 08x07 TT #CBU;"Tom 08"" x 07"", Beech, California Burl";575,00 €;367,23 €;4044661749546;829193750147;4
1.1.3;16230324;MT Birch 08x07 TT #REP;"Tom 08"" x 07"", Birch, Red Pearl";635,00 €;405,55 €;4044661749553;829193750154;1
1.1.3;16230336;MT Birch 08x07 TT #GTB;"Tom 08"" x 07"", Birch, GT Black";635,00 €;405,55 €;4044661749560;829193750161;3
1.1.3;16230340;MT Birch 08x07 TT #SPW;"Tom 08"" x 07"", Birch, Satin Pure White";635,00 €;405,55 €;4044661749577;829193750178;4
1.1.3;16230382;MT Birch 08x07 TT #CBU;"Tom 08"" x 07"", Birch, California Burl";585,00 €;373,61 €;4044661749584;829193750185;2
1.1.3;16230524;MT Maple 08x07 TT #REP;"Tom 08"" x 07"", Maple, Red Pearl";665,00 €;424,71 €;4044661749591;829193750192;1
1.1.3;16230536;MT Maple 08x07 TT #GTB;"Tom 08"" x 07"", Maple, GT Black";665,00 €;424,71 €;4044661749607;829193750208;1
1.1.3;16230540;MT Maple 08x07 TT #SPW;"Tom 08"" x 07"", Maple, Satin Pure White";665,00 €;424,71 €;4044661749614;829193750215;1
1.1.3;16230582;MT Maple 08x07 TT #CBU;"Tom 08"" x 07"", Maple, California Burl";615,00 €;392,77 €;4044661749621;829193750222;11
1.1.3;16232124;MT Beech 10x7.75 TT #REP;"Tom 10"" x 7.75"", Beech, Red Pearl";645,00 €;411,93 €;4044661749638;829193750239;10
1.1.3;16232136;MT Beech 10x7.75 TT #GTB;"Tom 10"" x 7.75"", Beech, GT Black";645,00 €;411,93 €;4044661749645;829193750246;17
1.1.3;16232140;MT Beech 10x7.75 TT #SPW;"Tom 10"" x 7.75"", Beech, Satin Pure White";645,00 €;411,93 €;4044661749652;829193750253;5
1.1.3;16232182;MT Beech 10x7.75 TT #CBU;"Tom 10"" x 7.75"", Beech, California Burl";595,00 €;380,00 €;4044661749669;829193750260;8
1.1.3;16232324;MT Birch 10x7.75 TT #REP;"Tom 10"" x 7.75"", Birch, Red Pearl";655,00 €;418,32 €;4044661749676;829193750277;20
1.1.3;16232336;MT Birch 10x7.75 TT #GTB;"Tom 10"" x 7.75"", Birch, GT Black";655,00 €;418,32 €;4044661749683;829193750284;16
1.1.3;16232340;MT Birch 10x7.75 TT #SPW;"Tom 10"" x 7.75"", Birch, Satin Pure White";655,00 €;418,32 €;4044661749690;829193750291;16
1.1.3;16232382;MT Birch 10x7.75 TT #CBU;"Tom 10"" x 7.75"", Birch, California Burl";605,00 €;386,39 €;4044661749706;829193750307;23
1.1.3;16232524;MT Maple 10x7.75 TT #REP;"Tom 10"" x 7.75"", Maple, Red Pearl";685,00 €;437,48 €;4044661749713;829193750314;2
1.1.3;16232536;MT Maple 10x7.75 TT #GTB;"Tom 10"" x 7.75"", Maple, GT Black";685,00 €;437,48 €;4044661749720;829193750321;0
1.1.3;16232540;MT Maple 10x7.75 TT #SPW;"Tom 10"" x 7.75"", Maple, Satin Pure White";685,00 €;437,48 €;4044661749737;829193750338;15
1.1.3;16232582;MT Maple 10x7.75 TT #CBU;"Tom 10"" x 7.75"", Maple, California Burl";635,00 €;405,55 €;4044661749744;829193750345;13
1.1.3;16234124;MT Beech 12x8.5 TT #REP;"Tom 12"" x 8.5"", Beech, Red Pearl";695,00 €;443,87 €;4044661749751;829193750352;7
1.1.3;16234136;MT Beech 12x8.5 TT #GTB;"Tom 12"" x 8.5"", Beech, GT Black";695,00 €;443,87 €;4044661749768;829193750369;16
1.1.3;16234140;MT Beech 12x8.5 TT #SPW;"Tom 12"" x 8.5"", Beech, Satin Pure White";695,00 €;443,87 €;4044661749775;829193750376;10
1.1.3;16234182;MT Beech 12x8.5 TT #CBU;"Tom 12"" x 8.5"", Beech, California Burl";655,00 €;418,32 €;4044661749782;829193750383;3
1.1.3;16234324;MT Birch 12x8.5 TT #REP;"Tom 12"" x 8.5"", Birch, Red Pearl";705,00 €;450,25 €;4044661749799;829193750390;19
1.1.3;16234336;MT Birch 12x8.5 TT #GTB;"Tom 12"" x 8.5"", Birch, GT Black";705,00 €;450,25 €;4044661749805;829193750406;14
