id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
39747178,,404847,404.847,GEWA,Smyčec pro kontrabas Student,0
39747179,,404848,404.848,GEWA,Smyčec pro kontrabas Student,1
39747180,,404851,404.851,GEWA Made in Germany,Smyčec pro kontrabas,10
39747181,,404852,404.852,GEWA,Smyčec pro kontrabas H.Walter Zapf,1
39747182,,404853,404.853,GEWA,Smyčec pro kontrabas,9
39747183,,404861,404.861,W. E. Dörfler,Smyčec pro kontrabas Fernambuk,3
39747184,,404865,404.865,Otto Dürrschmidt,Smyčec pro kontrabas Fernambuk,0
39747185,,404865501,404.865.501,Otto Dürrschmidt,Smyčec pro kontrabas,0
39747186,,404871,404.871,Alfred Knoll,Smyčec pro kontrabas Fernambuk,17
39747187,,404875,404.875,GEWA Made in Germany,Smyčec pro kontrabas Erwin Mahler,2
39747188,,404876,404.876,GEWA Made in Germany,Smyčec pro kontrabas Erwin Mahler,2
39747189,,404881,404.881,GEWA Made in Germany,Smyčec pro kontrabas Robert Reichel,3
39747190,,404891,404.891,GEWA Made in Germany,Smyčec pro kontrabas W.R. Wild,1
39747191,,404895,404.895,GEWA,Smyčec pro kontrabas H.Walter Zapf,2
39747192,,404896,404.896,Otto Dürrschmidt,Smyčec pro kontrabas Fernambuk,0
39747193,,404896501,404.896.501,Otto Dürrschmidt,Smyčec pro kontrabas,0
39747194,,404898,404.898,Otto Dürrschmidt,Smyčec pro kontrabas Fernambuk,0
39747195,,404905,404.905,GEWA,Smyčec pro kontrabas,16
39747196,,404906,404.906,GEWA,Smyčec pro kontrabas,1
39747197,,404907,404.907,GEWA,Smyčec pro kontrabas,7
39747198,,404911,404.911,GEWA,Smyčec pro kontrabas,0
39747199,,404912,404.912,GEWA,Smyčec pro kontrabas,2
39747200,,404913,404.913,GEWA,Smyčec pro kontrabas,2
39747201,,404915,404.915,GEWA Made in Germany,Smyčec pro kontrabas,3
39747202,,404916,404.916,GEWA Made in Germany,Smyčec pro kontrabas,1
39747203,,404917,404.917,GEWA Made in Germany,Smyčec pro kontrabas,3
39747204,,404921,404.921,GEWA Made in Germany,Smyčec pro kontrabas,6
39747205,,404925,404.925,GEWA Made in Germany,Smyčec pro kontrabas,7
39747206,,404941,404.941,GEWA Made in Germany,Smyčec pro kontrabas W.R. Wild,4
39747207,,404961,404.961,GEWA Made in Germany,"Bach-smyčec Smyčec pro Fidel, Diskant a Alt-Gambu",12
39747208,,404962,404.962,GEWA Made in Germany,"Bach-smyčec Smyčec pro Fidel, Diskant a Alt-Gambu",8
39747209,,404965,404.965,GEWA Made in Germany,Bach-smyčec Tenor-Gambe,0
39747210,,404966,404.966,GEWA Made in Germany,Bach-smyčec Tenor-Gambe,3
39747211,,404971,404.971,GEWA Made in Germany,Bas Gamba,0
39747212,,404971501,404.971.501,GEWA Made in Germany,Bas Gamba,0
39747213,,404972,404.972,GEWA Made in Germany,Bas Gamba,2
39747214,,404972501,404.972.501,GEWA Made in Germany,Bas Gamba,2
39747215,,404973,404.973,GEWA Made in Germany,Bas Gamba,2
39747216,,404973501,404.973.501,GEWA Made in Germany,Bas Gamba,2
39747217,,404974,404.974,GEWA Made in Germany,Bas Gamba,2
39747218,,404974501,404.974.501,GEWA Made in Germany,Bas Gamba,1
39747219,,404975,404.975,GEWA Made in Germany,Bas Gamba,0
39747220,,404975501,404.975.501,GEWA Made in Germany,Bas Gamba,1
39747221,,404981,404.981,GEWA Made in Germany,Smyčec pro Psaltr,38
39747222,,404984,404.984,GEWA Made in Germany,Smyčec pro Nyckel-harfu,8
39747223,,404990,404.990,GEWA,Držák pro Basový smyčec,79
39747224,,404991,404.991,GEWA,Držák pro Basový smyčec,58
39747225,,404995,404.995,GEWA,Pouzdro na smyčec Classic,200
39747226,,404996,404.996,GEWA,Pouzdro na smyčec Classic,200
39747227,,404997,404.997,GEWA,Pouzdro na smyčec Classic,126
39747228,,404998,404.998,GEWA,Pouzdro na smyčec Classic,200
39747229,,404411501,404411501,Otto Dürrschmidt,Smyčec pro violu Barokní smyčec - fernambuk,0
39747230,,404461501,404461501,Otto Dürrschmidt,"Smyčec pro violu Barokní smyčec - ,,hadí dřevo""",0
39747231,,405001,405.001,Teller,Houslová kobylka Standard,0
39747232,,405002,405.002,Teller,Houslová kobylka Standard,0
39747233,,405003,405.003,Teller,Houslová kobylka Standard,69
39747234,,405004,405.004,Teller,Houslová kobylka Standard,0
39747235,,405005,405.005,Teller,Houslová kobylka Standard,0
39747236,,405006,405.006,Teller,Houslová kobylka Standard,33
39747237,,405021,405.021,Despiau,Houslová kobylka Superieur,200
39747238,,405022,405.022,Despiau,Houslová kobylka Superieur,39
39747239,,405023,405.023,Despiau,Houslová kobylka Superieur,37
39747240,,405024,405.024,Despiau,Houslová kobylka Superieur,22
39747241,,405025,405.025,Despiau,Houslová kobylka Superieur,7
39747242,,405201,405.201,Aubert,Houslová kobylka Dřevěné,200
39747243,,405202,405.202,Aubert,Houslová kobylka Dřevěné,32
39747244,,405203,405.203,Aubert,Houslová kobylka Dřevěné,29
39747245,,405401,405.401,Aubert,Houslová kobylka Kobylka pro houslaře,134
39747246,,405402,405.402,Aubert,Houslová kobylka Kobylka pro houslaře,1
39747247,,405410,405.410,Aubert,Houslová kobylka Kobylka pro houslaře,185
39747248,,405411,405.411,Aubert,Houslová kobylka Kobylka pro houslaře,32
39747249,,405420,405.420,Teller,Houslová kobylka,0
39747250,,405425,405.425,Teller,Houslová kobylka,61
39747251,,405430,405.430,Teller,Houslová kobylka,200
39747252,,405442,405.442,Despiau,Houslová kobylka,186
39747253,,405443,405.443,Despiau,Houslová kobylka,61
39747254,,405444,405.444,Despiau,Houslová kobylka,19
39747255,,405446,405.446,Despiau,Houslová kobylka,13
39747256,,405448,405.448,Despiau,Houslová kobylka,12
39747257,,405449,405.449,GEWA,Houslová kobylka Model  Sacconi,69
39747258,,405459,405.459,Despiau,Houslová kobylka,27
39747259,,405459001,405.459.001,Despiau,Houslová kobylka,13
39747260,,405460,405.460,Despiau,Houslová kobylka,105
39747261,,405460001,405.460.001,Despiau,Houslová kobylka,21
39747262,,405467,405.467,Despiau,Houslová kobylka Superieur,45
39747263,,405467001,405.467.001,Despiau,Houslová kobylka Superieur,15
39747264,,405468,405.468,Despiau,Houslová kobylka Superieur,190
39747265,,405468001,405.468.001,Despiau,Houslová kobylka Superieur,14
39747266,,405500,405.500,Aubert,Houslová kobylka De Luxe,170
39747267,,405601,405.601,Teller,Houslová kobylka Standard,0
39747268,,405602,405.602,Teller,Houslová kobylka Standard,9
39747269,,405603,405.603,Teller,Houslová kobylka Standard,0
39747270,,405604,405.604,Teller,Houslová kobylka Standard,0
39747271,,405605,405.605,Teller,Houslová kobylka Standard,0
39747272,,405606,405.606,Teller,Houslová kobylka Standard,8
39747273,,405701,405.701,Aubert,Houslová kobylka Vložka s ebenového dřeva,23
39747274,,405702,405.702,Aubert,Houslová kobylka Vložka s ebenového dřeva,4
39747275,,405703,405.703,Aubert,Houslová kobylka Vložka s ebenového dřeva,2
39747276,,405901,405.901,Aubert,Houslová kobylka,200
39747277,,405902,405.902,Aubert,Houslová kobylka,193
39747278,,405903,405.903,Aubert,Houslová kobylka,27
39747279,,405904,405.904,Aubert,Houslová kobylka,22
39747280,,405905,405.905,Aubert,Houslová kobylka,32
39747281,,405906,405.906,Aubert,Houslová kobylka,5
39747282,,405907,405.907,Aubert,Houslová kobylka,10
39747283,,405908,405.908,Aubert,Houslová kobylka,45
39747284,,405909,405.909,Aubert,Houslová kobylka,10
39747285,,405910,405.910,Aubert,Houslová kobylka,11
39747286,,405911,405.911,Aubert,Houslová kobylka,50
39747287,,405912,405.912,Aubert,Houslová kobylka,13
39747288,,405990,405.990,GEWA Made in Germany,Ochrana pro houslovou kobylku,63
